"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
,,,,,,,,,,
"C1","1206C","1023.622mil","1594.488mil","1023.622mil","1594.488mil","1023.622mil","1539.37mil","T",90,"4.7uF"
"C2","1206C","1299.213mil","1594.488mil","1299.213mil","1594.488mil","1299.213mil","1539.37mil","T",90,"10uF"
"C3","1206C","1614.173mil","1279.528mil","1614.173mil","1279.528mil","1614.173mil","1334.646mil","T",270,"100nF"
"C6","1206C","1988.189mil","787.402mil","1988.189mil","787.402mil","2043.307mil","787.402mil","T",180,"0.1uF"
"C7","1206C","2874.016mil","2125.984mil","2874.016mil","2125.984mil","2874.016mil","2181.102mil","T",270,"100nF"
"C8","1206C","1850.394mil","2480.315mil","1850.394mil","2480.315mil","1850.394mil","2425.197mil","T",90,"100nF"
"J6","2108877-1","354.331mil","98.425mil","354.331mil","98.425mil","251.969mil","226.378mil","T",0,"2108877-1"
"L1","6028L","1220.472mil","1811.024mil","1220.472mil","1811.024mil","1127.953mil","1811.024mil","T",360,"2.2uH"
"R1","1206R","3405.512mil","1673.228mil","3405.512mil","1673.228mil","3405.512mil","1729.331mil","T",270,"4.7K"
"R10","1206R","3562.992mil","1673.228mil","3562.992mil","1673.228mil","3562.992mil","1729.331mil","T",270,"4.7K"
"R11","1206R","3720.472mil","1673.228mil","3720.472mil","1673.228mil","3720.472mil","1729.331mil","T",270,"4.7K"
"R12","1206R","2263.779mil","1456.693mil","2263.779mil","1456.693mil","2207.677mil","1456.693mil","T",360,"4.7K"
"R13","1206R","2263.779mil","1299.213mil","2263.779mil","1299.213mil","2207.677mil","1299.213mil","T",360,"4.7K"
"R14","1206R","2775.591mil","1673.228mil","2775.591mil","1673.228mil","2775.591mil","1729.331mil","T",270,"4.7K"
"R2","1206R","1161.417mil","1240.158mil","1161.417mil","1240.158mil","1105.315mil","1240.158mil","T",360,"442k"
"R3","1206R","1164.072mil","1377.953mil","1164.072mil","1377.953mil","1220.174mil","1377.953mil","T",180,"100k"
"R7","1206R","3248.032mil","1673.228mil","3248.032mil","1673.228mil","3248.032mil","1729.331mil","T",270,"4.7K"
"R8","1206R","3090.551mil","1673.228mil","3090.551mil","1673.228mil","3090.551mil","1729.331mil","T",270,"4.7K"
"R9","1206R","2933.071mil","1673.228mil","2933.071mil","1673.228mil","2933.071mil","1729.331mil","T",270,"4.7K"
"U1","SOIC-8 ","2066.93mil","2496.064mil","2066.93mil","2496.064mil","1970.473mil","2571.064mil","T",0,"AS5601-ASOM"
"U2","SOT-23-5","1161.417mil","1574.803mil","1161.417mil","1574.803mil","1212.598mil","1537.402mil","T",180,"TLV62568DBVR"
"U3","SOIC-20","3208.661mil","2224.409mil","3208.661mil","2224.409mil","2983.661mil","2045.276mil","T",90,"PIC18LF14K22-I/SO"
"J41","PH127-10","1864.174mil","1010.827mil","1864.174mil","1010.827mil","1940.945mil","910.827mil","T",180,"20021121-00010T4LF"
"J42","PH127-40","1864.174mil","1685.827mil","1864.174mil","1685.827mil","1940.945mil","1210.827mil","T",180,"20021121-00040T4LF"
"J43","PH127-10","3964.173mil","2060.827mil","3964.173mil","2060.827mil","3887.401mil","2160.827mil","T",0,"20021121-00010T4LF"
"J44","PH127-40","3964.173mil","1385.827mil","3964.173mil","1385.827mil","3887.401mil","1860.827mil","T",0,"20021121-00040T4LF"
